broom,exp,individual,age,rise10,fly50,fly100
Nimbus 2001,2,H,Young,0.5,2.4,5.1
Nimbus 2001,3,H,Young,0.4,2.1,5.65
Cleansweep 11,1,H,Young,1.1,3.5,6.41
Cleansweep 11,2,H,Young,1,3.2,6.35
Cleansweep 11,3,H,Young,0.8,3,6.05
Nimbus 2000,1,I,Old,0.8,2.6,6.65
Nimbus 2000,2,I,Old,0.8,2.8,6.4
Nimbus 2000,3,I,Old,1.4,2.3,5.96
Nimbus 2001,1,I,Old,0.7,2.4,4.9
Nimbus 2001,2,I,Old,0.8,2.7,5.7
Nimbus 2001,3,I,Old,0.6,2.2,5.86
Cleansweep 11,1,I,Old,1.2,3.6,7.1
Cleansweep 11,2,I,Old,1.3,3.5,6.6
Cleansweep 11,3,I,Old,1.1,3.1,6.26
Nimbus 2000,1,J,Old,0.4,2.1,6.9
Nimbus 2000,2,J,Old,0.5,2,5.15
Nimbus 2000,3,J,Old,0.5,1.8,4.91
Nimbus 2001,1,J,Old,0.3,1.9,3.9
Nimbus 2001,2,J,Old,0.3,1.9,4.1
Nimbus 2001,3,J,Old,0.5,1.7,4.81
Cleansweep 11,1,J,Old,0.8,3.1,5.26
Cleansweep 11,2,J,Old,1,2.7,5.35
Cleansweep 11,3,J,Old,0.9,2.6,5.21
Nimbus 2000,1,K,Old,1.5,3.6,5.65
Nimbus 2000,2,K,Old,0.8,3.2,9.15
Nimbus 2000,3,K,Old,0.7,3.4,8.27
Nimbus 2001,1,K,Old,1.4,3.4,6.9
Nimbus 2001,2,K,Old,1.2,3.1,6.5
Nimbus 2001,3,K,Old,1.1,3.3,8.17
Cleansweep 11,1,K,Old,1.4,4.6,10.09
Cleansweep 11,2,K,Old,1.3,4.8,9.35
Cleansweep 11,3,K,Old,1.1,4.2,8.57
Nimbus 2000,1,L,Young,0.7,2.3,9.65
Nimbus 2000,2,L,Young,0.7,2.3,6.9
Nimbus 2000,3,L,Young,0.6,2.8,6.38
Nimbus 2001,1,L,Young,0.6,2.1,4.3
Nimbus 2001,2,L,Young,0.9,2.2,4.7
Nimbus 2001,3,L,Young,0.6,2.7,6.28
Cleansweep 11,1,L,Young,1.1,3.3,5.95
Cleansweep 11,2,L,Young,1.2,3,7.1
Cleansweep 11,3,L,Young,1,3.3,6.68
